Words,Frequency
#macchinanyc,1
#popup,1
#collab,1
#chickenparm,1
#sliders,1
Wow,1
@gage.and.tollner,1
Butter,1
Roasted,1
Hashbrown,1
🙌,1
50+,1
layers,1
thinly,1
sliced,1
"potatoes,",1
clarified,1
crisp-edged,1
"perfection,",1
topped,1
flaky,1
sea,1
pool,1
"cream.

Swipe",1
⬅️,1
@dan__grossman’s,1
expert,1
(and,1
very,1
soothing,1
💆),1
hashbrown-building,1
"process!

📸:",1
"@lizzieamunro

#gageandtollner",1
#nyceats,2
#brunch,1
#hashbrowns,1
#gourmet,1
#eat,3
Who’s,1
down,1
pasta,1
pick,1
@rosemarysnyc,1
rigatone,1
alla,1
vodka,1
hit,1
"😍

#rosemarys",1
#rigatone,1
#rigatoni,1
#vodka,1
#vodkasauce,1
Good,1
morning,1
@guevarasongrand,1
Empanadas,1
Breakfast,1
"⛅️

📸:",1
"@kilnandkitchen

#food",1
#goodmorning,1
#empanadas,1
#breakfast,1
#guevaras,1
Pro,1
tip,1
through,1
week:,1
head,1
@murrayscheese,1
cheeseboard,1
dinner,1
@lorrainestl,1
"🧀🌺

#cheese",1
#murrayscheese,1
#cheeseboard,1
#charcuterieboard,1
#charcuterie,1
#shoplocal,1
Taco,1
Tuesday,1
vibes,1
@nenestaqueria,1
"🌮

#taco",1
#tacotuesday,1
#tacos,1
#birria,1
#birriatacos,1
#nenes,1
#taqueria,1
@mariocarbone’s,1
"kitchen,",1
@carbonefinefood,1
newest,1
original,1
Penne,1
Spicy,1
Shrimp,1
Arrabiata,1
Sauce,1
😍,1
Become,1
email,1
subscriber,1
"recipe!

#carbone",1
#penne,1
#shrimp,1
#arrabiata,1
#sauce,1
#spicy,1
#newyorkcity,1
